과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,a비율,b비율,c비율
경영학원론,1,홍길동,0.300000,0.300000,0.200000,0.200000,0.350000,0.700000,0.900000
학생,학번,중간고사 점수,기말 점수,과제 점수,출석 점수,이의신청,이의신청대상
학생01,202400001,92.000000,85.000000,83,99,1,중간다시체크
학생02,202400002,86,97,79,90,1,기말2번중복확인부탁드려요
학생03,202400003,95,89.000000,57,93,1,기말
학생04,202400004,98,91,76,98,1,과제
학생05,202400005,63,90,92,93,0,없음
학생06,202400006,82,68,95,100,1,출석
학생07,202400007,85,73,91,91,0,없음
학생08,202400008,92,94,55,94,0,없음
학생09,202400009,75,93,73,96,1,과제
학생10,202400010,51,65,86,100,1,기말
